 VideoBackup           | assetId text, createdAt timestamp, id integer, metadata jsonb, playbackId text, storageUrl text, videoId text
 VideoCollection       | collectionId text, order integer, videoId text
 VideoMeta             | assetId text, id integer, liveStreamId text, playbackId text, policy USER-DEFINED, videoId text
 VideoPlayOnce         | stationId text, videoId text
 VideoProduct          | order integer, productId text, videoId text
 VideoProgram          | order integer, programId text, videoId text
 VideoShopifyProduct   | id text, imageUrl text, order integer, shopifyProductId text, videoId text
 WaitlistUser          | country text, createdAt timestamp, email text, firstName text, lastName text
 Winback               | createdAt timestamp, metadata jsonb, promoCode text, redeemedAt timestamp, setPasswordEmailSentAt timestamp, userId text
 _TeacherToVideo       | A integer, B text
 _prisma_migrations    | applied_steps_count integer, checksum character varying, finished_at timestamp with time zone, id character varying, logs text, migration_name character varying, rolled_back_at timestamp with time zone, started_at timestamp with time zone
